age,gender,state_of_origin,distance_from_home_km,marital_status,has_children,admission_score,secondary_school_type,secondary_cgpa,year_of_study,current_cgpa,course_load_per_semester,attendance_percentage,number_of_failed_courses,number_of_repeated_courses,semester_gpa_trend,department,program_difficulty,scholarship_status,family_income_level,fee_payment_status,has_part_time_job,receives_allowance,financial_stress_level,library_visits_per_week,online_platform_usage_hours,participation_in_clubs,has_mentor,peer_study_groups,social_integration_score,accommodation_type,health_status,stress_level,received_academic_counseling,tutoring_sessions_attended,motivation_level,career_clarity,family_support,previous_warnings,probation_status,is_stem,will_dropout
26,Male,Lagos,539,Single,0,185,Public,2.67,1,4.15,28,84,14,0,Stable,Business_Admin,Moderate,None,Medium,Fully_Paid,0,0,Very_High,13,23,1,1,0,3,Off_Campus,Good,Moderate,0,9,High,Somewhat_Clear,High,3,1,0,0
22,Male,Kano,663,Single,0,214,Public,2.45,1,3.81,26,54,14,2,Improving,Medicine,Low,None,Low,Partially_Paid,0,1,Moderate,13,11,1,0,0,5,Living_with_Family,Fair,Moderate,0,0,Moderate,Very_Clear,Moderate,2,0,1,0
19,Male,Edo,466,Single,0,258,Private,2.24,1,4.2,18,76,1,3,Improving,Environmental_Studies,High,None,High,Fully_Paid,1,1,Moderate,6,18,1,0,1,1,Off_Campus,Good,High,1,0,High,Very_Clear,Very_High,2,0,0,0
23,Female,Lagos,116,Married,0,332,Private,2.64,3,4.07,27,50,5,4,Declining,Arts,High,None,Low,Partially_Paid,1,1,Moderate,0,20,0,0,1,5,Off_Campus,Good,High,1,14,Very_High,Unclear,Very_High,3,0,0,0
25,Male,Oyo,283,Single,0,236,Public,4.76,1,3.53,12,33,7,2,Stable,Education,Low,None,Low,Fully_Paid,0,0,High,8,8,0,0,0,1,Off_Campus,Good,High,0,14,Moderate,Somewhat_Clear,Moderate,0,0,0,1
17,Female,Imo,441,Single,0,278,Public,2.95,3,2.31,25,63,0,6,Improving,Science,Moderate,None,Medium,Fully_Paid,1,1,High,9,22,0,0,1,2,Campus_Hostel,Excellent,Moderate,0,4,Very_Low,Very_Unclear,Very_High,4,1,1,1
16,Female,Delta,40,Single,1,241,Public,3.4,2,4.42,19,47,11,0,Declining,Agriculture,High,None,Medium,Partially_Paid,0,0,Moderate,1,12,0,0,1,9,Campus_Hostel,Good,Low,0,18,High,Somewhat_Clear,High,2,0,0,0
16,Male,Rivers,392,Married,0,347,Private,2.94,2,4.88,17,92,7,4,Improving,Business_Admin,High,None,Medium,Fully_Paid,1,1,High,8,16,1,1,0,6,Private_Hostel,Good,Moderate,0,3,Low,Somewhat_Clear,High,0,0,0,0
25,Female,Katsina,589,Single,0,303,Private,2.94,1,4.03,18,97,6,1,Stable,Engineering,High,None,Low,Fully_Paid,0,1,Low,2,19,0,0,0,6,Campus_Hostel,Poor,Moderate,1,18,Low,Somewhat_Clear,Low,1,0,1,0
19,Male,Ekiti,467,Single,0,184,Public,3.23,1,4.4,16,30,2,2,Improving,Science,Very_High,None,Medium,Partially_Paid,1,1,Moderate,14,2,0,1,0,8,Living_with_Family,Excellent,Moderate,1,6,High,Clear,Moderate,0,0,1,0
16,Female,Ogun,563,Single,0,337,Public,2.46,2,2.26,26,61,9,0,Declining,Medicine,Moderate,None,Medium,Partially_Paid,0,0,Moderate,4,8,0,0,0,5,Living_with_Family,Excellent,High,0,0,High,Very_Unclear,Low,3,0,1,1
22,Female,Rivers,265,Single,0,280,Public,4.11,3,4.69,15,32,3,5,Stable,Medicine,Very_High,Partial,Low,Fully_Paid,1,1,Very_High,1,14,0,0,0,3,Private_Hostel,Good,Low,1,12,Moderate,Somewhat_Clear,High,1,0,1,0
26,Male,Kano,231,Single,0,334,Public,4.16,4,1.95,14,95,14,3,Stable,Environmental_Studies,Moderate,None,Medium,Fully_Paid,1,0,High,14,6,1,0,0,7,Off_Campus,Good,Moderate,0,15,Low,Unclear,High,4,0,0,1
19,Female,Imo,713,Single,0,347,Public,4.31,1,2.3,20,84,2,1,Declining,Science,Very_High,Partial,Low,Owing,0,0,Moderate,12,3,0,0,0,9,Off_Campus,Good,High,0,16,Very_High,Clear,High,1,0,1,1
26,Male,Ekiti,656,Single,0,310,Public,3.82,1,2.47,15,75,10,6,Declining,Medicine,Low,None,Medium,Fully_Paid,0,0,Low,14,10,1,1,1,3,Off_Campus,Good,Moderate,0,18,High,Very_Clear,Very_Low,3,0,1,1
18,Female,Kano,738,Single,0,193,Private,4.72,1,2.73,25,92,5,7,Stable,Medicine,Very_High,None,Low,Partially_Paid,0,1,Moderate,2,26,0,1,1,1,Off_Campus,Poor,High,0,17,Very_Low,Somewhat_Clear,Moderate,1,0,1,0
27,Male,Ogun,746,Single,0,237,Private,4.64,3,4.9,19,92,4,3,Improving,Education,Low,Full,Low,Owing,0,0,High,14,9,0,1,0,3,Off_Campus,Fair,Moderate,0,11,Very_Low,Very_Clear,Moderate,1,0,0,0
20,Male,Enugu,315,Single,0,277,Public,3.86,2,3.56,17,91,9,6,Stable,Agriculture,High,Partial,Low,Partially_Paid,0,1,Low,12,29,0,0,0,2,Living_with_Family,Poor,High,0,7,Very_High,Somewhat_Clear,Very_High,4,1,0,1
17,Female,Delta,374,Single,0,254,Private,3.86,4,1.79,29,42,6,6,Stable,Environmental_Studies,High,None,Low,Fully_Paid,0,1,Low,7,5,1,0,0,8,Campus_Hostel,Excellent,High,0,4,High,Clear,Moderate,1,0,0,1
23,Male,Anambra,630,Single,0,344,Private,2.87,1,4.94,16,99,12,3,Stable,Education,Moderate,Full,Medium,Fully_Paid,0,1,Low,7,2,1,0,0,5,Off_Campus,Good,Moderate,0,15,Very_High,Somewhat_Clear,High,1,1,0,0
18,Female,Lagos,102,Married,0,205,Public,2.29,3,3.69,16,75,3,5,Improving,Education,Very_High,None,Low,Owing,0,1,Low,9,29,1,0,0,6,Living_with_Family,Good,Moderate,0,19,Very_Low,Somewhat_Clear,Moderate,1,0,0,0
24,Female,Katsina,631,Single,0,306,Public,3.7,1,2.52,29,47,13,7,Declining,Engineering,Very_High,None,Low,Partially_Paid,1,1,Moderate,7,16,0,1,0,1,Off_Campus,Good,Moderate,0,16,Moderate,Very_Clear,Very_Low,0,0,1,1
22,Female,Kaduna,641,Single,0,347,Public,4.46,3,4.23,25,66,0,1,Declining,Environmental_Studies,Very_High,None,Low,Partially_Paid,0,1,Moderate,14,2,1,1,0,5,Off_Campus,Fair,Low,1,17,Very_Low,Clear,Moderate,2,0,0,0
19,Male,Anambra,232,Single,0,304,Public,2.76,1,1.55,22,89,3,5,Improving,Environmental_Studies,Moderate,None,Low,Fully_Paid,0,1,Moderate,3,3,1,1,0,4,Campus_Hostel,Fair,High,0,9,High,Very_Clear,Moderate,2,0,0,1
24,Male,Oyo,396,Single,0,205,Private,2.53,3,3.77,24,65,2,6,Improving,Science,High,None,Low,Owing,0,0,Low,11,22,1,0,0,7,Off_Campus,Good,Low,1,9,Very_High,Very_Clear,Very_Low,0,0,1,0
21,Male,Cross_River,303,Single,0,245,Private,3.58,1,4.28,19,37,2,7,Stable,Environmental_Studies,High,Partial,High,Fully_Paid,0,1,Moderate,11,15,0,0,0,2,Campus_Hostel,Fair,High,0,11,High,Somewhat_Clear,Moderate,1,0,0,0
25,Male,Edo,394,Single,0,257,Public,3.49,1,3.8,25,82,7,7,Stable,Arts,High,Partial,Medium,Owing,1,1,Very_High,11,10,0,1,0,3,Campus_Hostel,Good,Moderate,1,18,Moderate,Unclear,Moderate,0,0,0,1
26,Male,Rivers,102,Single,0,219,Public,4.54,4,4.84,21,36,12,2,Stable,Medicine,High,Partial,High,Partially_Paid,0,0,High,3,10,1,0,0,1,Campus_Hostel,Fair,Low,0,1,High,Unclear,High,4,0,1,0
20,Female,Imo,539,Single,0,180,Public,4.22,2,4.64,27,55,1,1,Stable,Social_Sciences,High,None,Low,Fully_Paid,0,0,Moderate,2,12,0,0,1,4,Private_Hostel,Good,High,0,8,Moderate,Unclear,Low,4,0,0,0
